重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,0
重庆,2022-08-17,2022年08月17日,优,27,74,12,22,8,14,0.52,74,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        42℃",3
重庆,2022-08-18,2022年08月18日,优,27,77,11,21,7,14,0.51,77,"晴
/多云","南风 1-2级
                                        /南风 1-2级","34℃
                                        /
                                        43℃",3
重庆,2022-08-19,2022年08月19日,优,32,155,13,24,8,19,0.53,85,"晴
/晴","南风 1-2级
                                        /南风 1-2级","34℃
                                        /
                                        43℃",3
重庆,2022-08-20,2022年08月20日,优,34,181,16,27,8,20,0.57,78,"多云
/多云","南风 1-2级
                                        /南风 1-2级","34℃
                                        /
                                        43℃",3
重庆,2022-08-21,2022年08月21日,优,26,114,11,20,7,12,0.48,75,"晴
/多云","南风 1-2级
                                        /南风 1-2级","34℃
                                        /
                                        43℃",3
重庆,2022-08-22,2022年08月22日,优,30,160,14,23,8,14,0.56,83,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        42℃",3
重庆,2022-08-23,2022年08月23日,优,29,118,13,21,8,17,0.56,75,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        42℃",3
重庆,2022-08-24,2022年08月24日,优,27,87,13,20,7,14,0.56,76,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","34℃
                                        /
                                        42℃",3
重庆,2022-08-25,2022年08月25日,优,35,177,16,27,7,14,0.59,96,"多云
/多云","东风 1-2级
                                        /东风 1-2级","33℃
                                        /
                                        42℃",3
重庆,2022-08-26,2022年08月26日,优,31,177,16,26,7,13,0.57,90,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","34℃
                                        /
                                        42℃",3
重庆,2022-08-27,2022年08月27日,优,24,91,9,16,7,12,0.46,72,"晴
/多云","东南风 1-2级
                                        /东南风 1-2级","32℃
                                        /
                                        41℃",3
重庆,2022-08-28,2022年08月28日,优,25,120,10,18,6,11,0.51,73,"晴
/多云","西北风 1-2级
                                        /西北风 1-2级","31℃
                                        /
                                        40℃",3
重庆,2022-08-29,2022年08月29日,优,29,169,17,26,7,13,0.61,69,"阴
/小雨","西北风 1-2级
                                        /西北风 1-2级","27℃
                                        /
                                        33℃",3
重庆,2022-08-30,2022年08月30日,优,21,62,13,18,6,13,0.60,47,"小雨
/阴","西风 1-2级
                                        /西风 1-2级","21℃
                                        /
                                        25℃",3
重庆,2022-08-31,2022年08月31日,优,19,18,10,16,6,16,0.50,54,"小雨
/阴","北风 1-2级
                                        /北风 1-2级","20℃
                                        /
                                        27℃",3
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,4
重庆,2022-07-01,2022年07月01日,优,37,204,19,36,8,26,0.63,76,"小雨
/中雨","东风 1-2级
                                        /东风 1-2级","25℃
                                        /
                                        33℃",4
重庆,2022-07-02,2022年07月02日,优,30,167,16,28,7,19,0.59,65,"雷阵雨
/中雨","西北风 1-2级
                                        /西北风 1-2级","25℃
                                        /
                                        32℃",4
重庆,2022-07-03,2022年07月03日,优,29,160,16,25,7,15,0.57,65,"小雨
/多云","东北风 1-2级
                                        /东北风 1-2级","25℃
                                        /
                                        32℃",4
重庆,2022-07-04,2022年07月04日,优,37,238,18,31,8,22,0.62,78,"多云
/多云","北风 1-2级
                                        /北风 1-2级","26℃
                                        /
                                        34℃",4
重庆,2022-07-05,2022年07月05日,优,42,271,20,36,9,24,0.62,84,"晴
/晴","西北风 1-2级
                                        /西北风 1-2级","27℃
                                        /
                                        36℃",4
重庆,2022-07-06,2022年07月06日,良,59,311,22,41,9,27,0.70,111,"晴
/晴","西南风 1-2级
                                        /西南风 1-2级","29℃
                                        /
                                        39℃",4
重庆,2022-07-07,2022年07月07日,优,47,257,19,37,8,25,0.62,103,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","27℃
                                        /
                                        39℃",4
重庆,2022-07-08,2022年07月08日,优,43,208,16,32,8,26,0.60,96,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","28℃
                                        /
                                        39℃",4
重庆,2022-07-09,2022年07月09日,优,37,188,15,29,9,23,0.53,81,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","29℃
                                        /
                                        39℃",4
重庆,2022-07-10,2022年07月10日,优,29,111,10,21,8,18,0.49,76,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","31℃
                                        /
                                        39℃",4
重庆,2022-07-11,2022年07月11日,优,28,89,10,22,8,17,0.51,73,"晴
/多云","东南风 3-4级
                                        /东南风 3-4级","32℃
                                        /
                                        40℃",4
重庆,2022-07-12,2022年07月12日,优,27,76,10,21,7,16,0.50,68,"晴
/多云","东南风 1-2级
                                        /东南风 1-2级","32℃
                                        /
                                        40℃",4
重庆,2022-07-13,2022年07月13日,优,31,148,12,23,8,16,0.52,78,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        40℃",4
重庆,2022-07-14,2022年07月14日,优,33,140,12,24,8,17,0.53,88,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        41℃",4
重庆,2022-07-15,2022年07月15日,优,34,137,14,25,8,18,0.59,93,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","34℃
                                        /
                                        40℃",4
重庆,2022-07-16,2022年07月16日,优,43,257,18,34,9,22,0.64,99,"多云
/小雨","南风 1-2级
                                        /南风 1-2级","31℃
                                        /
                                        39℃",4
重庆,2022-07-17,2022年07月17日,优,37,211,17,31,8,18,0.63,86,"中雨
/中雨","西风 1-2级
                                        /西风 1-2级","30℃
                                        /
                                        36℃",4
重庆,2022-07-18,2022年07月18日,优,28,124,18,27,7,19,0.68,54,"中雨
/中雨","西南风 1-2级
                                        /西南风 1-2级","27℃
                                        /
                                        33℃",4
重庆,2022-07-19,2022年07月19日,优,24,86,13,22,7,14,0.60,55,"小雨
/阴","西北风 1-2级
                                        /西北风 1-2级","25℃
                                        /
                                        31℃",4
重庆,2022-07-20,2022年07月20日,优,29,153,14,25,9,20,0.61,70,"阴
/阴","西南风 1-2级
                                        /西南风 1-2级","24℃
                                        /
                                        30℃",4
重庆,2022-07-21,2022年07月21日,优,35,195,15,29,8,25,0.68,72,"多云
/阴","东北风 1-2级
                                        /东北风 1-2级","26℃
                                        /
                                        34℃",4
重庆,2022-07-22,2022年07月22日,优,25,69,12,24,8,18,0.53,55,"阴
/多云","西风 1-2级
                                        /西风 1-2级","25℃
                                        /
                                        30℃",4
重庆,2022-07-23,2022年07月23日,优,30,123,14,27,8,24,0.60,74,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","23℃
                                        /
                                        31℃",4
重庆,2022-07-24,2022年07月24日,优,43,216,18,34,9,26,0.68,91,"晴
/小雨","东风 1-2级
                                        /东风 1-2级","25℃
                                        /
                                        34℃",4
重庆,2022-07-25,2022年07月25日,优,44,199,22,39,9,24,0.68,94,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","26℃
                                        /
                                        36℃",4
重庆,2022-07-26,2022年07月26日,优,39,173,16,29,8,22,0.63,94,"多云
/小雨","东南风 1-2级
                                        /东南风 1-2级","26℃
                                        /
                                        39℃",4
重庆,2022-07-27,2022年07月27日,优,30,68,13,26,7,19,0.59,76,"大雨
/中雨","东风 1-2级
                                        /东风 1-2级","27℃
                                        /
                                        33℃",4
重庆,2022-07-28,2022年07月28日,优,41,219,18,33,8,24,0.65,87,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","26℃
                                        /
                                        35℃",4
重庆,2022-07-29,2022年07月29日,优,50,292,20,36,8,27,0.64,99,"晴
/晴","东风 1-2级
                                        /东风 1-2级","27℃
                                        /
                                        37℃",4
重庆,2022-07-30,2022年07月30日,优,43,225,17,34,8,29,0.60,89,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","29℃
                                        /
                                        38℃",4
重庆,2022-07-31,2022年07月31日,优,36,145,16,28,8,22,0.55,84,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","29℃
                                        /
                                        39℃",4
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,5
重庆,2022-06-01,2022年06月01日,优,40,180,21,40,8,28,0.74,41,"阴
/阴","西风 1-2级
                                        /西风 1-2级","23℃
                                        /
                                        30℃",5
重庆,2022-06-02,2022年06月02日,优,39,172,21,39,8,31,0.77,37,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","23℃
                                        /
                                        29℃",5
